,Comments
12957,"Our hardwork and parents motivation. That smile after your parents got to know about you getting placed.Loved this video 💕

Edit : Same feeling right now after getting placed💥"
12958,"Roz ghiso , subah shaam ghiso,din raat ghiso 🔥🔥🔥🔥🔥🔥🔥🔥 this video is on another level bhaiyaaaa, congratulations for you placement 🖤🖤"
12959,Congratulations bhaiiiii ♥️
12960,"7:44 All Hustlers!! This Is The Reason Why You Should Be Successful.❤️ 
This Moment Is Priceless."
12961,Your mom's reaction was priceless ❤️
12962,"Bhaiya muje pta hai apka 25 lpa ka package lga hai ""Amazon"" mai😁"
12963,Well done bhai 😎👍
12964,Next year Yash Garg bhaiya ❤️
12965,The quality of this vide is insane
12966,Lots of love bro❤️❤️
12967,Bhai kitte ka lga lpa ?
12968,congratulations☺☺
12969,Loved the cinematography ... keep it up and congratulations ... and good luck for future!!!
12970,That cinematic intro and those lines. So good and true
12971,"Congratulations bhai 🥳
 python is sufficient for campus placement  or not?"
12972,"having such supportive parents is a real blessing , congrats for that"
12973,Bhaiye which company cracked??
12974,Bhai dil❤️khush krdiya❤️
12975,Bahi bhai congratulations
12976,Like kar dia bahi
12977,Like kar dia bahi
12978,7:20 I really cried 😢😢
12979,"Congrats ajay bhaiya aapke mummy ,papa bhut acchi hai ❣️❣️"
12980,"Really a great video, and who is here from Nepal?"
12981,Bhai apne dtu ma computer science li thi kya
12982,4 years later I will be in your position. Btw best of luck bhaiya for your rest of  life
12983,Congratulations bhai..
12984,Congratulations Sir 🔥🔥🥳🥳🥳
12985,God editing level
12986,Passion dslr tha 😂
12987,Aakhir...Maa maa hi hoti hai 🧡
12988,top-notch editing
12989,10k likes done 😆✌
12990,Congrat's ✨🎉
12991,Bhai the Production of that Video is on another level
12992,Awesome bhaiya❤
12993,congratulations bahiyaa
12994,All legends of CS YouTube community are here...so happy to see @lovebabbar@striver and many
12995,7:28 I'm not crying 🥺
12996,bhaiyaa aap ko coding pasand nahi the kya aap bol rahe ho sab bolte hai ke karle coding place hone ke liye
12997,Goosebumps in every line brother 🔥🔥
12998,Congratulations bro💐💐
12999,aunty's smile on teelling when you are placed 😍😍
13000,"Congratulations bhaiya!!! 🎉🎉🎉🎉🎉
Can u make a single video on resources you used to crack placement? It would be beneficial for all of us.🤗🤗🤗"
13001,Mozz krdi bhai Good luck bhai 🔥
13002,I'm doing nothing tb bhi mein dekh rha hu..bcz I'm addicted 😂 congratulations ❤️
13003,Bhai chemical branch mil rhi hai mnit jaipur me kya kru
13004,"Dil chu lia ajay bhiya 
Turuu inspiration 🔥🔥🔥"
13005,Congratulations bhai...
13006,😄
13007,Bhai U r inspiration for me
13008,"Maza aa gya bhai..
Congratulations 👌🏻"
13009,Congrats Bhaiya ❤️
13010,Bro now please make a video on your resume ASAP🙏😊
13011,Which software you use for video editing
13012,Congratulations Big bro😍❤
13013,10k Likes Completed :)
13014,Maa to maa hi Hoti hai yrrr❤️❤️
13015,"BHAI KHUSI DEKHO CHEHRE PE , BILKUL NEXT LEVEL HAI BHAI KI 😁😁😁, MUMMY BHI BAHUT KHUS HAI  , CONGRATULATION BRO"
13016,"1 like is definately for mother and fathers happiness 🌷❤❤
Congo ajay bhaiya 💛🎂🍷"
13017,Hamara tier 3 college mai mera college mai koi company nhi ata hai mera course ke related 😭
13018,Congratulation bhaiya 😊
13019,"Mera tho gpa hi nhi hai 
If condition phe jayega hi nhi😢"
13020,"6:15 kya khushi h yrr bhai ki 💛💚💙❤ 
 love you 3000"
13021,Bhai apko dekh ke mujhe bhot motivation mili h 5 month baad jee main h and meine Zyada nhi pdha but in 5 month mein apko milta hu idhar he jaan lgakr preparation krunga and result btane aungaaa ❤️👑
13022,"Going to kota for drop now but i will update this comment with my jee rank , wish me luck"
13023,Congrats bhai
13024,Was able to relate to every single thing in this video brother! All the very best for your future!!
13025,Congratulations 🥳
13026,Relatable a lot .Going through same phase right now.😄😄
13027,Bhaiya agar placement naa lgti naa toh bhi aap BEST VIDEO EDITOR ki job lekr mast paisa chhap sakte ho
13028,Bhai ap bhi place ho gaye ho... Mera abhi takk placement nhi hua 😞😞😞😞....
13029,"Main to andar se toot gayi 
Bas tere ko dilasa de rahi thi 


ماں کا جزبہ"
13030,Congo ajay bhai😍
13031,"Kisi or social pe bata do Bhai 😌
Congratulations ❤️🎉"
13032,"Congratulations @Ajay bhai ...... Hope next year hamara bhi ho jaye....

This video will be a motivation for me until I get placed...."
13033,Congratulations bhaiya u r really an inspiration ❤️❤️🤗🤗
13034,That smile on his mother's face.
13035,Gjb !! 🔥
13036,Congratulations for your future bro...u did it well...very well
13037,"Any guess which company ? 
Comment 👇"
13038,Have been following you for more than a year. It feels so good to be part of your journey. Congratulations ❤️💐🎊
13039,"Lol,earn money through YouTube ,,invest in paytm,, 
Ajay bhai #paytmkaro😶😂"
13040,Congrats bro 🥳🥳🥳
13041,Congo bhaiya.....
13042,Op editing bro🔥🔥
13043,C++.  Opppp
13044,7:26  best moment 😭😭
13045,❤️❤️❤️❤️
13046,Bhai meri ssb h i haven't studied anything regarding coding thoda boht pata h bs plz help kro yr kaise prepare kru jaldi jaldi
13047,Bhai confidence se bhaar diya apne mujhe 🔥🔥🔥🔥 m bhi DTU me hu 😂😂❤️❤️
13048,🥺🥺🥺🥺🥺
13049,Bhot bhadiya
13050,10k likes completed!!
13051,Kitne lakh ka laga h
13052,Macha diya bhai 🔥🔥🔥🔥
13053,🔥🔥🔥🔥
13054,"Congratulations bhaiya
Aapki mehnat rang lai🎊🎊💐💐"
13055,"Salary is a bribe they give to kill your dream
            ~~ _______________"
13056,Your editing skills are getting enhanced day by day. KEEP IT UP.
13057,Bhiyya thumb nail naraj kyo banaya hai
13058,Whats ur role?
13059,"Congratulations Bhaiya, and Awesome editing yaar maza hi aagaya itne transition dekh ke. 😅"
13060,Congratulation bhai
13061,"Brother you don't like coding...
How can you work for 11 hrs. In a company in that field which is not liked by you???"
13062,Congo bhaiiii
13063,Bhai ansu aa gaye mummy g ki hansi or wo andar se tooti thi but dilasa de rahi thi...
13064,Paytm offer is of 16L and base is of 10L
13065,"Bhaiya l am  two year dropper 
It will affect my placement . please reply"
13066,Goose bumps 🔥
13067,Superb bhai 🔥🔥🔥🔥🔥🔥
13068,I day 10k subs isse badi baat aur kya ajay bhai...yahi vodeo dekhne ke liye....6 din se tadap raha tga
13069,Your editing skills are lit🔥🔥🔥
13070,Bhai mujhe comment me bta do company aur package plz video me btane ki zarurat nahi abhi
13071,"7 : 25 Bhai Aunty ji ki smile kbhi jaani nhi chahiye , Work Hard for that smile bhai mujhe bhi apne mummy papa ko aaise smile kaa mauka dena hai !! Wish me Luck 🤞"
13072,next level editing..maza aagaya
13073,Congratulations bhaiya 🎉😀
13074,"Bhai bola tha na 🔥,badhai ho 🙌"
13075,👌👌👌👌
13076,"🔥🔥🔥🎉🎉🎉 congrats bro aakhir voh din aahii gya
From Resume of a ytuber➡️ mission impossible. ➡️ Deadline placement ➡️unplaced ➡️finally""placed""!!!!!"
13077,Congratulations bhai 🎉🎉🎉❤️❤️
13078,Congratulations and Kudos for your hard work bro.. and video is on next level 💥
13079,True Ultimate Feeling............ ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
13080,"Congrats bhaiya, aapse puri ummeed thi ki aap nikal hi loge!! 🥳🎉"
13081,"I was about to give up on my preparations, but I am happy that I stumbled upon your video. You gave me hope that I can still do it. Now even I want to see those smiles on my parent's faces! Their proud smiles! I will soon come here and update you all when I get placed😃. Wish me luck💜
All the best to whoever is reading this comment. You can do it!💜"
13082,bhaiya mast video hai is channel pe sbse acha video aajtak ka....:)
13083,Congratulations!
13084,Congratulations bhaiya.. so proud of you.. Your parents reaction was priceless... I have been following you from a long time... You did it.. Hope I will also achieve this level of greatness ❤️..
13085,Aunty yaar💙💙
13086,The diamond part of the video is your mother's smile.
13087,congrats bro....!!!!
13088,Congratulations 💗👏👏
13089,congratulations
13090,First person of my clan doing BTech 😀
13091,This was one of the best journeys summing up the life of a job aspirant...💯 incredible videography bhai ❤
13092,🥰🥰
13093,"Funfact:- BGM gives me a- goosebumps !!

Apko bhi hui kya ?? 😁😁

👍👍"
13094,"Funfact:- Congratulations bhai , dabaake mehent karne ke liye ❤️👏👏🎊🎊❤️

And Same here, also (little-bit)🙂🙂😊😊☺️☺️
👍👍"
13095,"bhai dil khush kr diya aapne aisa lag raha h jese apna future dekh rhe h hum very nice brother love you
and ""i like the part hogya banyan mat utaaro"""
13096,"Congrats brother 🔥
That feeling and moment was needed to be documented. I salute you, It take balls to be such confident and record yourself before an interview. You deserved the placement brother 🔥🎉"
13097,Aag laga di aag laga di 👍👍🔥🔥
13098,💗🌝
13099,congratulation bro
13100,congrats bhaiyaa
13101,Editing next level 🔥🔥🔥🔥
13102,"Bro this video is literally a way too good.
I'm a first semester student of BCA but I felt it ngl. I must say , the storytelling is genuine and the moments ( especially the reactions ) captured here is as pretty as the picture.
Finally your hardwork outshined the failures you went through to achieve this position.
And as rightly said , "" Safar Khoobsurat hai manzil se bhi , "" is , indeed , apt here.
And we have seen ( through YouTube ) the 'safar' of yours and even the 'manzil' eventually ! 
Congratulations brother 🎉"
13103,"Congratulations sir 🎉🎉
Motivation level++"
13104,"7:17 BHAI AAKHO SE AASU AA GAYE,
KAASH MERAE BHI MUMMY PAPA HOTE 😢😟"
13105,"My present goal NIT Surathkal (Nimcet) 
in next 8 to 9 month..."
13106,Congratulations bhaiya👏💓🎉🎊
13107,Acting k badshah ho ji aap toh
13108,congratulations tp you bro
13109,Happy for u bhiya bss wish me luck for adv
13110,Congrats Bhaiyaa😍🎉
13111,"Editing level..🔥⚡
Emotion level..❤️🥺"
13112,Congratulation brother
13113,So genuine person. Wish you very luck for the future.💯💯
13114,"great yaar ,Congratulations 🎊"
13115,video editing skills op
13116,"Loved the storytelling! 
Leveling up the game also with the new camera 🎥❤"
13117,abh free hoke aaram se youtube kar paega bro kya sukuun hai mein feel kar sakta hu well done bro
13118,Congratulations bro
13119,"Congratulations Ajay bhai, please be regular on youtube. #ajayrajrocks"
13120,i m so happy for you;
13121,Loved the video ❤️
13122,"First 30 Seconds especially that eye scene gave me goosebumps... 
Totally a fan of you"
13123,bhai apki editing skill oppp
13124,"Lekin ek bat smjh nai ai, ap 33 companies me coding round clear nhi kr paye ? Ye kese ?"
13125,"Bhai 🔥🔥❤️❤️❤️ super congratulations 🎉🎉

Mauz kr diye bilkul

#never give up ever"
13126,"Congratulations brother, hope for a better future"
13127,"Bhaiya sahi batau to maza aa gaya i am so happy ki aap ki placement lag gae 🎉🎉🎉🎊🎊
Congratulations🎉🎊🎉🎊
motivation on the top level"
13128,Vah bhaiya cha gye ekdum ab life mein chahe koi kaam 3month mein krna ho ya 10din mein chahe successful ho ya na but dte rhege jb tk jeet ka swaad na chkle🌄🌄🌄
13129,Konse company me ???
13130,Nashedi Paagal ho gaya kya...Aisa lag raha hai Ik lauta Hi padh raha hai ye 😂
13131,congrats ajay bhai
13132,Keep Hustling Keep Growing ❤️
13133,Congrats Ajay bhai✨✨
13134,Kya video hai bhai. opppppp 😮😮
13135,Congratulations🎉🥳🥳🥳🥳👏
13136,Respect bhaiya respect!👍👍🙏🤩
13137,"Full time I had a smile, impossible that someone will not smile while watching this video"
13138,Congratulations bhayya 😊😊
13139,Bhaiya ab apka roadmap bata dijiye ❤🔥btw congratulations 🔥🔥🤩
13140,congratulations bhaiya
13141,Parents are real motivators. 🔥🙏🔥🙏
13142,He was so happy!
13143,Congrats Bro Dil se :) .. Hope u recognise me as well
13144,Congratulations bhai
13145,"The moment you said hogya was very emotional 🤗🤗
Congratulations🎉🎊"
13146,Your mom is like marry mom!!
13147,👍👍👍
13148,Rulaa diya bhaaai beech m🤗🥲
13149,"Bhai maine pahli video nahi dekhi par ab se mai decide karta hu tab tak puri takat se mahnat karunga jab tak mai jee qualify nahi karlunga. 
1 attempt nahi to 2nd attempt tak par puri takat laga dunga. Result will be updated in reply section of my comment. 
Jai Hind Jai Bharat
Jai Bhavani Jai Shivaji"
13150,Bhai MAA maa hote h bhai har ik condition m sath dete h maa ❤️❤️
13151,Bhai emotional 🥺ho gye video dekh kr 💯
13152,Congratulations bhaiya i was eagerly waiting  for you to crack placement and now you cracked it i am so happy for you bhaiya 🤩🤩
13153,In which company  are you  placed bro????
13154,Hard work :<pays off>
13155,Harman Bhaiyaa crying at corner😭 😂😂
13156,Awesome Videography 😍👍
13157,Congrats bhai 🔥😂
13158,Congo bhiaya. U deserved it
13159,Kamal krdia bawa🔥🔥🔥
13160,Bhaiya too op!!!!
13161,20 +lpa ✋✋
13162,bhaiya dil khush ho gya thumbnail dekhkar
13163,Ajay bhai ye to btao interview english mai tha ya hindi mai is baar reply dena bro...
13164,Moms are mom🥰🥰🥰💖
13165,Kitne ka lga package
13166,"i want to share something bhaiya 
last year 2nd September 2020 - i failed every entrance exam
this year on 2nd September 2021 - i have cleared each one of them ❤️"
13167,Happy for you bhai <3
13168,woww bhaiyaa congratulations ❤️❤️❤️ lot's of success too you ❤️
13169,"Bhai mtlb ki ,mujko bhi aadr se khushi ho rhi h 
You deserve it man"
13170,"Congratulations bro🥳🥳 
Hard work always pays off"
